EnvironmentalDNA	EnvironmentalDNA
GenomicDNA	GenomicDNA
eDNA	EnvironmentalDNA
1 ALIZARIN	Unknown
1 IN ALIZARIN	Unknown
1 caud vert	Unknown
1 microslide	Microslide
1 piece eggshell	Eggs
1 piece eggshell, phal small bird	Eggs
1 vert	Unknown
1 worn thoracic vert	Unknown
1 x SKULL & SPIRIT	Unknown
1% vol:vol	Unknown
10 phalanges	Unknown
10% For & SW	Unknown
10% Formalin	Unknown
10% Formalin?	Unknown
10% formalin	Unknown
100 Ethanol	Spirit
100% EOH	Spirit
100% ETHANOL	Spirit
100% ETOH	Spirit
100% EtOH	Spirit
100% Ethanol	Spirit
100% Ethanol ?	Spirit
100% Formalin	Spirit
100% ethanol	Spirit
100% ethanol ?	Spirit
100% etoh	Spirit
100%ETOH	Spirit
100%ETOH?	Spirit
100%Ethanol	Spirit
12 microslides	Microslide
12 pt ribs	Bone
1884),Zella beddomei (Petterd	Unknown
1pL1pR cor, 1pL tmt, 4pL2pR ulna, 1L scap, 1pR cmc, 1dL red, 1 ant stern, 1R ramus mand, 2 cerv vert	Unknown
1st vert synsacrum	Unknown
2 EGGS	Eggs
2 IN ALIZARIN	Unknown
2 IN ALIZARIN ID not known	Unknown
2 MII.1	Unknown
2 and a pt vert	Unknown
2 caudal vert	Unknown
2 fibula	Bone
2 frags skull	Skull
2 mand tips	Unknown
2 manus phal	Unknown
2 metatarsal	Unknown
2 microslides	Microslide
2 pt L cor	Unknown
2 pt fibulae	Unknown
2 pt thor vert	Unknown
2 pts cranium	Unknown
2 rib, 1 vert frag	Unknown
2 ungual phal	Unknown
2 unguals	Unknown
2% formalin, roots included	Unknown
21 microslides	Microslide
2L fused radius+ulna+carpometacarpus	Unknown
2XCLEARED/STAINED	Unknown
2d tmt	Unknown
2d tt	Unknown
3 EGGS	Eggs
3 frags pelvis	Unknown
3 frags vert	Unknown
3 microslides	Microslide
3 pedal phal, 1 metatarsal	Unknown
3 phalanges	Unknown
3 pt ribs	Unknown
3 unguals	Unknown
3 vertebrae	Unknown
33 microslides	Microslide
3R cmc, 2pL 1dL tmt, 1 dL tib	Unknown
3d cmc	Unknown
4 EGGS	Eggs
4 IN ALIZARIN	Unknown
4 X METAMORPHS	Unknown
4 caudal vert	Unknown
4 frags vert	Unknown
4 microslides	Microslide
4 phal (II.1, II or IV ungual, II.1, IV.2)	Unknown
4th cerv vert	Unknown
5 Embryo's	Unknown
5 IN ALIZARIN	Unknown
5 microslides	Microslide
5 phalanges, 2 frags d tmt	Unknown
5 unguals	Unknown
5% Formalin	Unknown
5% buffered formaldehyde	Unknown
50 % alcohol 10 % lactic acid	Unknown
6 IN ALIZARIN ID not known	Unknown
6 microslides	Microslide
6 phalanges	Unknown
6 rib frags	Unknown
