EL SALVADOR	13.794185	-88.89653	14.4500015	-87.6682	13.0474	-90.1923	
EQUATORIAL GUINEA	1.650801	10.267895	3.8355	11.3538886	-1.5475	5.5419	
ERITREA	15.179384	39.782334	17.9892	43.2312	12.354723	36.4433333	
ESTONIA	58.595272	25.013607	59.7315	28.210139	57.5093155	21.6541	
ETHIOPIA	9.145	40.489673	14.8942145	47.9999999	3.4041356	32.9911111	
FALKLAND ISLANDS (MALVINAS)	-51.796253	-59.523613	-50.9809116	-57.6768494	-52.4744161	-61.3792419	
FAROE ISLANDS	61.892635	-6.911806	62.4310742	-6.1907959	61.3677776	-7.7178955	
FIJI	-17.713371	178.065032	-12.2084957	-177.8686523	-20.8998713	176.7919922	
FINLAND	61.92411	25.748151	70.0922932	31.5871	59.6872	19.2096	
FRANCE	46.227638	2.213749	51.1242	9.6625	41.3253	-5.5591	
FRENCH GUIANA	3.933889	-53.125782	5.9548	-51.616449	2.109287	-54.554438	
FRENCH POLYNESIA	-17.679742	-149.406843	-6.4682	-137.3511	-28.61346	-154.4678	
FRENCH SOUTHERN TERRITORIES	-49.280366	69.348557	-48.4036794	70.6558228	-50.0641917	68.4832764	
GABON	-0.803689	11.609444	2.3269444	14.5205561	-4.1656	8.421	
GAMBIA	13.443182	-15.310139	13.8263892	-13.7986106	13.0099	-16.9464	
GEORGIA	32.1574351	-82.907123	35.000659	-80.751429	30.3555909	-85.605165	
GERMANY	51.165691	10.451526	55.0815	15.0418321	47.270127	5.8662579	
GHANA	7.946527	-1.023194	11.1666675	1.1995656	4.6339	-3.2491669	
GIBRALTAR	36.137741	-5.345374	36.1551187	-5.3345	36.1039	-5.3721	
GREECE	39.074208	21.824312	41.7485356	29.6528	34.5428	19.3098	
GREENLAND	71.706936	-42.604303	83.9702561	-8.26172	58.26329	-73.82812	
GRENADA	12.262776	-61.604171	12.5672975	-61.3620758	11.9829051	-61.8059921	
GUADELOUPE	16.995971	-62.067641	16.995971	-60.9473419	15.742032	-62.067641	
GUAM	13.444304	144.793731	13.7994072	145.112915	13.1022175	144.4647217	
GUATEMALA	15.783471	-90.230759	17.8156972	-88.1982	13.63	-92.2714	
GUERNSEY	49.465691	-2.585278	49.731547	-2.158902	49.407746	-2.675589	
GUINEA	9.945587	-9.696645	12.6772225	-7.6463886	7.190909	-15.282	
GUINEA-BISSAU	11.803749	-15.180413	12.6847225	-13.6430556	10.7146	-16.9519	
GUYANA	4.860416	-58.93018	8.7222	-56.49112	1.164724	-61.414905	
HAITI	18.971187	-72.285215	20.1282	-71.621754	17.9422	-74.6082	
HEARD ISLAND AND MCDONALD ISLANDS	-53.08181	73.504158	-52.909416	73.859146	-53.192001	72.596535	
HOLY SEE	41.902916	12.453389	41.9074693	12.458325	41.9002147	12.4458426	
HONDURAS	15.199999	-86.241905	17.4678	-83.0621	12.9842246	-89.355148	
HONG KONG	22.396428	114.109497	22.561968	114.4295	22.1435	113.8259	
HUNGARY	47.162494	19.503304	48.585233	22.8979924	45.737124	16.1136813	
ICELAND	64.963051	-19.020835	67.2466	-12.2388	62.4819	-26.2573	
INDIA	20.593684	78.96288	35.5071565	97.395555	6.4627	68.1097	
INDONESIA	-0.789275	113.921327	6.217	141.0425	-11.1083	94.7351	
IRAQ	33.223191	43.679291	37.380932	48.6351	29.061208	38.793674	
"Iran, Islamic Republic of"	32.57503292	54.27407004					
IRELAND	53.41291	-8.24389	55.4602	-5.6689	51.3066	-10.7666	
ISLE OF MAN	54.236107	-4.548056	54.418247	-4.308328	54.04464	-4.830181	
ISRAEL	31.046051	34.851612	33.332805	35.89473	29.4797	34.267387	
ITALY	41.87194	12.56738	47.0924248	18.7976	36.4699	6.62672	
JAMAICA	18.109581	-77.297508	18.569782	-76.1448669	17.6688854	-78.4073639	
JAPAN	36.204824	138.252924	45.6691047	149.120962	23.9207972	122.91	
JERSEY	49.214439	-2.13125	49.259406	-2.01882	49.164176	-2.256745	
JORDAN	30.585164	36.238414	33.374735	39.301154	29.185036	34.9441	
KAZAKHSTAN	48.019573	66.923684	55.441984	87.315415	40.568584	46.493672	
KENYA	-0.023559	37.906193	5.0408674	41.9068316	-4.7243	33.9098213	
KIRIBATI	-3.370417	-168.734039	5.4082109	-144.2285156	-14.0939572	168.8818359	
"Korea, Democratic People's Republic of"	40.15350311	127.1924797					
"Korea, Republic of"	36.38523983	127.8391609					
KUWAIT	29.31166	47.481766	30.1036993	48.5184	28.5244463	46.55304	
KYRGYZSTAN	41.20438	74.766098	43.265357	80.2265593	39.180254	69.250998	
LAO PEOPLE'S DEMOCRATIC REPUBLIC	19.85627	102.495496	22.502872	107.69483	13.90972	100.083214	
LATVIA	56.879635	24.603189	58.0855713	28.241403	55.6748581	20.8466	
LEBANON	33.854721	35.862285	34.69209	36.62372	33.0550257	35.0711	
LESOTHO	-29.609988	28.233608	-28.5708011	29.4557088	-30.6755788	27.0112311	
Libya	27.03094495	18.00866169					
LIBERIA	6.428055	-9.429499	8.551986	-7.369255	4.2697	-11.5356	
LIBYAN ARAB JAMAHIRIYA	26.3351	17.228331	33.2203	25.2686	19.5004298	9.3891431	
LIECHTENSTEIN	47.166	9.555373	47.2705467	9.63565	47.04829	9.47162	
LITHUANIA	55.169438	23.881275	56.4503174	26.83565	53.898672	20.931	
LUXEMBOURG	49.815273	6.129583	50.18282	6.53097	49.447779	5.73567	
MACAO	22.198745	113.543873	22.217159	113.6127	22.1066	113.5287132	
